PF,ECTS
1.63,4
86.95,10
55.55,8
45.61,6
1.63,4
45.02,5
0,4
33.58,4
48.98,7
49.63,7
42.33,4
43.88,4
9.22,4
45.17,5
89.69,10
45.83,5
46.5,7
50.85,7
47.01,6
2.11,4
49.37,7
43.08,4
51.81,8
55.91,8
39.73,4
51.37,8
79.69,10
35.56,4
41.34,4
42.51,4
45.43,6
43.02,4
51.38,8
89.67,10
53.95,8
66.77,9
58.42,8
15.91,4
50.11,7
50.67,7
36.46,4
48.69,7
30.35,4
48.28,6
65.46,9
48.16,7
18.1,4
61.06,9
45.06,5
51.17,7
48.63,7
50.43,7
60.62,9
49.82,7
11.58,4
38.05,4
61.96,8
13.67,4
81.21,10
49.02,7
44.09,4
47.95,7
53.46,8
48.99,7
66.9,9
29.32,4
43.81,4
52.01,8
47.77,6
68.26,9
53.24,8
36.98,4
28.06,4
47.87,7
53.43,8
59.34,8
44.05,4
89.43,10
50.11,7
0,4
48.93,7
45.28,5
45.36,5
25.03,4
64.58,8
49.51,7
30.25,4
59.95,8
45.02,5
45.53,6
52.41,8
45.52,6
37.69,4
46.98,6
52.38,8
49.29,7
45.31,5
45.01,5
3.15,4
52.68,8
0,4
51.18,7
54.48,8
53.17,8
41.56,4
49.09,7
48.05,7
46.79,6
39.23,4
80.28,9
92.27,10
55.63,8
49.03,7
63.5,9
58.67,8
34,4
46.58,6
48,7
39.56,4
54.97,8
40.68,4
41.24,4
63.25,9
47.47,6
47.02,7
50.76,7
46.17,6
45.05,5
48.05,7
55.87,8
0,4
47.83,6
36.25,4
32.22,4
45.04,5
55.62,8
42.3,4
16.46,4
39.54,4
4.78,4
47.26,6
41.94,4
51.53,7
52.43,8
49.53,7
88,10
42.3,4
26.09,4
46.08,6
38.53,4
38.69,4
32.33,4
25.8,4
38.5,4
53.11,8
56.85,7
47.89,7
0,4
32.76,4
50.66,7
41.4,4
45.02,5
80.19,10
53.28,7
42.9,4
47.77,7
55.48,8
63.98,9
53.88,8
29.29,4
24.98,4
38.35,4
52.46,8
32.6,4
58.62,8
60.65,9
66.69,9
51.29,7
5.58,4
45.51,5
52.96,8
36.31,4
54.75,7
19.05,4
52.36,8
58.24,8
49.92,7
47.44,6
47.71,6
47.92,6
27.2,4
103.12,10
51.3,7
69.01,9
38.35,4
1.77,4
31.04,4
47.84,6
70.8,9
45.36,5
52.03,8
56.36,8
49.95,7
37.85,4
46.98,6
48.25,6
48.2,6
86.64,10
47.5,6
39.09,4
125.19,10
31.72,4
102.45,10
63.75,8
48.35,7
22.88,4
47.76,6
64.17,9
45.13,5
47.42,7
49.83,7
52.56,8
0,4
45.29,5
47.65,7
49.5,7
41.87,4
61.16,9
51.87,8
45.33,6
28.67,4
54.23,8
50.42,6
45.02,5
52.09,7
57.19,8
38.21,4
48.37,6
54.27,8
51.32,8
46.38,6
51.04,7
52.4,8
69.53,9
45.51,6
47.45,6
0,4
52.15,8
70.06,9
48.43,7
54.82,7
41.22,4
14.62,4
33.81,4
43.02,4
54.01,7
46.73,6
49.29,7
6.52,4
45.04,5
57.55,8
48.12,7
42.34,4
50.12,7
45.53,6
43.9,4
97.76,10
41.14,4
53.42,7
75.71,9
51.49,7
50.18,7
3.15,4
43.2,4
51.88,8
46,6
38.86,4
43.8,4
46.4,6
67.83,9
45.1,5
50.36,7
41.7,4
42.01,4
79.51,9
48.03,7
47.17,6
45.88,6
55.36,7
51.79,7
45.18,6
46.04,6
49.91,7
1.63,4
47.11,6
57.23,8
38.5,4
45.1,5
48.67,7
54.84,8
45.18,5
88.82,10
85.08,10
40.72,4
50.1,7
43.29,4
54.01,8
47.58,6
46.63,7
43.72,4
31.14,4
48.68,6
45.44,6
73.93,9
0,4
49,7
