Year,Gender,Class,NrPS1,NrPSM1,NrPSA1,NrPCA1,NrPC1,NFS1,NPS1,NPC1,NET1,NL1,NrPS2,NrPSM2,NrPSA2,NrPCA2,NrPC2,NFS2,NPS2,NPC2,NET2,NL2,BS,PF,ECTS
2010,1,1,1,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,4
2012,0,5,7,3,3,0,7,10,6.81,1.88,9.4,3.8,7,7,0,1,6,10,10,3.91,8.9,3.1,18.74,86.95,10
2014,1,1,7,2,3,0,6,10,5.07,1.59,8.1,2.2,7,3,0,0,7,10,5.94,1.88,6,2.4,3,55.55,8
2013,0,12,7,0,1,0,6,10,0.14,1.59,6.1,2.8,7,0,2,0,7,10,0.43,1.88,7.1,2.2,3.92,45.61,6
2012,0,14,1,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,4
2015,1,6,6,0,2,0,7,9.71,0.46,1.88,8,2.3,7,0,0,0,7,10,0,1.88,2.2,2.25,8.14,45.02,5
2016,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2009,0,1,4,0,0,0,0,7.39,0,0,5.9,2.3,6,0,0,0,0,9.71,0,0,4.4,2.2,0,33.58,4
2011,0,3,7,1,0,0,2,10,2.17,0.43,9.5,2.8,6,0,1,0,7,9.42,0.14,1.88,9,2,0,48.98,7
2009,0,12,7,0,0,0,5,10,0,1.3,9.4,2.7,6,0,0,4,2,9.42,0,7.97,9.8,2.3,0,49.63,7
2010,0,2,7,0,0,0,3,10,0,0.72,6.4,3.6,7,0,0,0,0,10,0,0,7.2,2.2,0,42.33,4
2010,0,4,7,0,0,1,1,10,0,2.46,6.4,2.4,7,0,1,0,6,10,0.14,1.59,8,2.3,1.5,43.88,4
2011,0,6,4,0,0,0,0,7.39,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,9.22,4
2015,1,6,7,0,0,0,7,10,0,1.88,7.5,2.4,7,0,0,0,7,10,0,1.88,2.8,2.3,8,45.17,5
2013,0,1,7,4,1,1,6,10,7.68,3.91,7.9,2.6,7,5,1,0,7,10,8.84,1.88,8.3,3.1,26.5,89.69,10
2012,0,4,7,0,4,0,4,10,1.01,1.01,6.3,2.4,6,2,0,0,2,9.42,4.2,0.43,3.3,2.4,5.29,45.83,5
2009,0,1,7,1,1,0,7,10,2.46,1.88,5,2.3,7,2,0,4,3,10,4.2,8.26,6.4,2.3,0,46.5,7
2011,0,5,7,0,0,0,0,10,0,0,9,2.3,7,1,1,0,1,10,2.46,0.14,9.5,2.4,2,50.85,7
2013,1,9,7,0,1,0,7,10,0.14,1.88,8,2.9,7,0,0,0,7,10,0,1.88,7.4,2.2,2.75,47.01,6
2009,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,2,2.11,4
2016,0,13,7,2,2,0,7,10,4.78,1.88,5.7,1.9,7,2,0,0,4,10,4.2,1.01,2.3,2.63,6,49.37,7
2009,0,3,4,0,0,0,0,7.39,0,0,7.6,2.6,5,0,0,0,0,8.55,0,0,9.6,2.9,0,43.08,4
2016,1,12,7,0,1,0,7,10,0.14,1.95,7.2,3,7,1,2,0,7,10,2.75,1.88,4.2,3.3,6.92,51.81,8
2016,0,10,7,1,1,1,6,10,2.46,3.91,4.5,2,6,0,0,0,3,9.42,0,0.72,1.4,2.2,22.75,55.91,8
2013,0,6,7,0,1,0,5,10,0.14,1.3,5.5,2.2,6,0,0,0,7,9.42,0,1.88,6.8,2,1.5,39.73,4
2011,1,5,7,0,0,0,6,10,0,1.59,9.6,2.1,7,1,1,0,7,10,2.46,1.88,9.2,2.3,1.84,51.37,8
2016,0,8,7,6,0,0,7,10,9.42,1.88,5,4,7,4,0,0,5,10,7.39,2,8.2,2.7,17.71,79.69,10
2010,0,14,7,0,1,0,3,10,0.14,0.72,3.1,3.5,7,0,1,0,7,10,0.14,1.88,3.5,3,0,35.56,4
2009,0,12,6,0,0,0,4,9.71,0,1.01,8.7,2.4,7,0,0,0,4,10,0,1.01,5.7,2.2,0,41.34,4
2015,0,10,6,0,1,0,6,9.42,0.14,1.59,7.7,2.5,7,0,0,0,6,10,0,1.73,2.6,2.05,6,42.51,4
2009,1,11,5,0,0,0,3,8.84,0,0.72,9,3.4,6,0,0,1,6,9.42,0,3.91,7.9,2,0,45.43,6
2011,0,13,7,0,0,0,5,10,0,1.3,6,2.2,6,0,1,0,1,9.42,0.14,0.14,9.5,2.7,0,43.02,4
2011,0,13,5,1,1,0,1,8.84,2.46,0.14,9.6,2.3,6,1,3,0,0,9.42,3.04,0,9.4,2.5,0,51.38,8
2009,1,1,7,2,1,3,4,10,4.49,7.1,9.6,3.8,7,3,1,6,1,10,6.23,9.71,9.5,4.7,21,89.67,10
2011,1,8,7,1,0,0,5,10,2.17,1.3,7.8,3.3,7,1,1,0,6,10,2.46,1.59,7.4,4.8,0.42,53.95,8
2013,1,4,7,2,1,0,7,10,4.49,1.88,5.4,4.4,6,1,1,1,6,9.71,2.46,3.91,5.4,3,17.14,66.77,9
2012,0,6,7,2,0,0,4,10,4.2,1.01,8.9,2.15,6,4,0,0,0,9.42,7.39,0,6.9,2,5,58.42,8
2009,0,7,5,0,0,0,0,8.55,0,0,3.3,0,2,0,0,0,0,4.49,0,0,0,0,2,15.91,4
2016,0,5,7,2,0,0,7,10,4.2,1.88,4.5,2.3,7,1,1,0,6,10,2.46,1.59,1.4,2.3,11.96,50.11,7
2015,0,8,7,0,0,0,7,10,0,1.88,8,2.7,7,1,0,0,7,10,2.17,2.02,2.9,2.3,10,50.67,7
2016,0,6,7,0,0,0,6,10,0,1.59,2.2,1.9,7,0,0,0,6,10,0,1.59,2.2,2.08,8.14,36.46,4
2013,0,13,7,3,1,0,6,10,6.23,1.59,3.4,2.5,7,1,3,0,7,10,3.04,1.88,7.4,2.1,2,48.69,7
2011,0,6,7,0,0,0,0,10,0,0,3.3,2.1,5,0,1,0,0,8.55,0.14,0,6.8,0,0,30.35,4
2012,0,7,7,0,0,0,7,10,0,1.88,9.3,2.1,7,2,1,0,3,10,4.49,0.72,5.9,2.1,1.79,48.28,6
2009,0,3,7,6,0,0,6,10,9.42,1.59,7.5,2.3,7,6,0,0,7,10,9.42,1.88,8,2.2,3.5,65.46,9
2011,1,3,7,3,0,0,6,10,5.94,1.59,7.3,2.3,7,0,0,0,6,10,0,1.59,7.4,2.3,0,48.16,7
2012,1,14,4,0,1,0,0,7.39,0.14,0,5.1,2.5,1,0,0,0,1,2.17,0,0.14,0,0,0,18.1,4
