Gender,Class,NrPS1,NrPSM1,NrPSA1,NrPCA1,NrPC1,NET1,NL1,NrPS2,NrPSM2,NrPSA2,NrPCA2,NrPC2,NET2,NL2,BS,PF
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63
0,5,7,3,3,0,7,9.4,3.8,7,7,0,1,6,8.9,3.1,18.74,86.95
1,1,7,2,3,0,6,8.1,2.2,7,3,0,0,7,6,2.4,3,55.55
0,12,7,0,1,0,6,6.1,2.8,7,0,2,0,7,7.1,2.2,3.92,45.61
0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63
1,6,6,0,2,0,7,8,2.3,7,0,0,0,7,2.2,2.25,8.14,45.02
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,0,0,0,0,5.9,2.3,6,0,0,0,0,4.4,2.2,0,33.58
0,3,7,1,0,0,2,9.5,2.8,6,0,1,0,7,9,2,0,48.98
0,12,7,0,0,0,5,9.4,2.7,6,0,0,4,2,9.8,2.3,0,49.63
0,2,7,0,0,0,3,6.4,3.6,7,0,0,0,0,7.2,2.2,0,42.33
0,4,7,0,0,1,1,6.4,2.4,7,0,1,0,6,8,2.3,1.5,43.88
0,6,4,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,9.22
1,6,7,0,0,0,7,7.5,2.4,7,0,0,0,7,2.8,2.3,8,45.17
0,1,7,4,1,1,6,7.9,2.6,7,5,1,0,7,8.3,3.1,26.5,89.69
0,4,7,0,4,0,4,6.3,2.4,6,2,0,0,2,3.3,2.4,5.29,45.83
0,1,7,1,1,0,7,5,2.3,7,2,0,4,3,6.4,2.3,0,46.5
0,5,7,0,0,0,0,9,2.3,7,1,1,0,1,9.5,2.4,2,50.85
1,9,7,0,1,0,7,8,2.9,7,0,0,0,7,7.4,2.2,2.75,47.01
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.11
0,13,7,2,2,0,7,5.7,1.9,7,2,0,0,4,2.3,2.63,6,49.37
0,3,4,0,0,0,0,7.6,2.6,5,0,0,0,0,9.6,2.9,0,43.08
1,12,7,0,1,0,7,7.2,3,7,1,2,0,7,4.2,3.3,6.92,51.81
0,10,7,1,1,1,6,4.5,2,6,0,0,0,3,1.4,2.2,22.75,55.91
0,6,7,0,1,0,5,5.5,2.2,6,0,0,0,7,6.8,2,1.5,39.73
1,5,7,0,0,0,6,9.6,2.1,7,1,1,0,7,9.2,2.3,1.84,51.37
0,8,7,6,0,0,7,5,4,7,4,0,0,5,8.2,2.7,17.71,79.69
0,14,7,0,1,0,3,3.1,3.5,7,0,1,0,7,3.5,3,0,35.56
0,12,6,0,0,0,4,8.7,2.4,7,0,0,0,4,5.7,2.2,0,41.34
0,10,6,0,1,0,6,7.7,2.5,7,0,0,0,6,2.6,2.05,6,42.51
1,11,5,0,0,0,3,9,3.4,6,0,0,1,6,7.9,2,0,45.43
0,13,7,0,0,0,5,6,2.2,6,0,1,0,1,9.5,2.7,0,43.02
0,13,5,1,1,0,1,9.6,2.3,6,1,3,0,0,9.4,2.5,0,51.38
1,1,7,2,1,3,4,9.6,3.8,7,3,1,6,1,9.5,4.7,21,89.67
1,8,7,1,0,0,5,7.8,3.3,7,1,1,0,6,7.4,4.8,0.42,53.95
1,4,7,2,1,0,7,5.4,4.4,6,1,1,1,6,5.4,3,17.14,66.77
